pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
82.11,-87.486395,180.0,top,R39,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,620k,smt
111.185,-92.2875,90.0,top,R4,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,800,smt
83.025,-127.8,-90.0,top,R40,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,10K,smt
91.425,-127.75,-45.0,top,R41,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,1M,smt
98.725,-110.35,90.0,top,R42,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,2k,smt
96.775,-110.35,90.0,top,R43,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,2k,smt
118.335,-75.025,0.0,top,R5,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,800,smt
100.735,-75.025,180.0,top,R6,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,800,smt
102.775,-115.05,0.0,top,R7,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,10,smt
104.925,-113.05,180.0,top,R8,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,10,smt
103.075,-118.15,90.0,top,R9,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,10,smt
109.7,-109.5625,-90.0,top,U1,,,QFN-32-1EP_5x5mm_P0.5mm_EP3.3x3.3mm,ES9039Q2M,smt
123.2,-140.425,0.0,top,U11,,,RE-20-1_ADI,ADP5071AREZ-R7,smt
82.635002,-95.934646,-90.0,top,U12,TPS74501PDRVR,,SON65P200X200X80-7N,TPS74501PDRVR,smt
129.0725,-100.275,0.0,top,U14,ADP7185ACPZN-R7,,SON50P200X200X60-9N,ADP7185ACPZN-R7,smt
97.075,-121.975,0.0,top,U2,,,QFN_F60B-C24_XMO,XU316-1024-QF60B-C24,smt
109.5903,-80.0375,0.0,top,U3,,,TPA6120A2DWP,TPA6120A2DWP,smt
101.885,-92.55,0.0,top,U4,,,SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.95x4.9mm_Mask2.71x3.4mm_ThermalVias,OPA1612AxD,smt
117.61,-93.875,0.0,top,U5,,,SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.95x4.9mm_Mask2.71x3.4mm_ThermalVias,OPA1612AxD,smt
125.39714,-118.009526,180.0,top,U6,,,SOIC-8_3.9x4.9mm_P1.27mm,MCP1727-1802xSN,smt
125.175,-125.358385,180.0,top,U7,,,SOIC-8_3.9x4.9mm_P1.27mm,MCP1727-3302xSN,smt
87.5175,-111.05,90.0,top,U8,,,SOIC_150MIL_WIN,W25Q16JVSNIQ,smt
93.3375,-111.2,-90.0,top,U9,,,SOT-353_SC-70-5,TPS717XX,smt
87.213555,-131.989809,45.0,top,Y1,,,Crystal_SMD_3225-4Pin_3.2x2.5mm_HandSoldering,Crystal_GND24,smt
115.0,-127.575,180.0,top,Y2,,,Oscillator_SMD_EuroQuartz_XO32-4Pin_3.2x2.5mm,LMK6CE049152CDLFR,smt
110.95,-127.325,0.0,top,Y3,,,Oscillator_SMD_Abracon_ASE-4Pin_3.2x2.5mm,ASDLJ-E-45.1584MHz,smt
